PC1,-0.31,-0.31,-0.35,-0.24,-0.36,-0.01,0.19,0.26,0.33,0.41,-0.13,-0.27,-0.15,
PC2,0.02,0.02,0.18,-0.16,-0.39,-0.41,-0.38,0.35,0.03,-0.11,-0.33,0.27,0.4,
PC3,-0.35,-0.35,-0.03,-0.52,0.2,-0.16,-0.38,-0.28,-0.27,-0.01,0.35,0,0.04,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
f-1,1,1,2650,7,1,42.3,15.3,0.11,0.229,1.48,63,35.5,1.33,
f-2,2,2,3500,7,2,42,14.2,0.091,0.153,0.82,120,51.3,1.44,
f-3,3,3,3808,17,1,40.7,13.9,0.113,0.186,0.76,32.7,62.09,1.63,
f-4,4,4,3615,50,2,43.1,15.2,0.095,0.175,0.76,88.7,50.59,1.38,
,,,,,,,,,,,,,,
f-1,0.25,0.25,0.695903361,0.14,0.5,0.981438515,1,0.973451327,1,1,0.525,0.571750684,0.81595092,
f-2,0.5,0.5,0.919117647,0.14,1,0.974477958,0.928104575,0.805309735,0.668122271,0.554054054,1,0.826220003,0.883435583,
f-3,0.75,0.75,1,0.34,0.5,0.944315545,0.908496732,1,0.812227074,0.513513514,0.2725,1,1,
f-4,1,1,0.949317227,1,1,1,0.993464052,0.840707965,0.76419214,0.513513514,0.739166667,0.81478499,0.846625767,
,,,,,,,,,,,,,,
,-0.31,-0.31,-0.332261029,-0.24,-0.36,-0.01,0.18875817,0.218584071,0.252183406,0.210540541,-0.096091667,-0.219991947,-0.126993865,-1.135272321
,0.02,0.02,0.170877101,-0.16,-0.39,-0.41,-0.37751634,0.294247788,0.022925764,-0.056486486,-0.243925,0.219991947,0.338650307,-0.55123492
,-0.35,-0.35,-0.028479517,-0.52,0.2,-0.16,-0.37751634,-0.23539823,-0.206331878,-0.005135135,0.258708333,0,0.033865031,-1.740287736
,,,,,,,,,,,,,,
,,,,,,quanzhong,,,,,,,,
,pc1,pc2,pc3,,,,PC1,PC2,PC3,,,,,
f-1,0.2161,-0.2963,-1.0419,,,F-1,1.681,-0.3037,-0.094,,0.3632641,0.08998631,0.0979386,0.55118901
f-2,-0.6873,-0.4918,-0.7851,,,F-2,-0.519,-0.3353,0.9322,,0.3567087,0.16490054,-0.73187022,-0.21026098
f-3,-0.6301,0.1262,-1.4972,,,F-3,-0.266,1.4427,-0.1735,,0.1676066,0.18206874,0.2597642,0.60943954
f-4,-1.1353,-0.5512,-1.7403,,,F-4,-0.896,-0.8037,-0.6648,,1.0172288,0.44299944,1.15695144,2.61717968
